,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
7004,鏦,平,鍾,tshjowng,L,cōng,cung1,총,1,1
7005,鏹,上,養,kjang,X,qiāng,koeng5,강,11,0
7006,鐃,平,肴,nraew,L,náo,naau4,요,8,1
7007,鐍,入,屑,kwet,E,jué,kyut3,휼,7,0
7008,鐔,平,侵,zim,L,tán,taam4,심,15,1
7009,鐘,平,鍾,tsyowng,L,zhōng,zung1,종,1,1
7010,鐙,去,嶝,tong,H,dèng,dang3,등,13,0
7011,鐡,平,齊,dej,L,tiě,tit3,철,5,1
7012,鐫,平,支,xjwie,L,juān,zyun1,전,3,1
7013,鐮,平,鹽,ljem,L,lián,lim4,염,16,1
7014,鐲,入,燭,dzyowk,E,zhuó,zuk6,탁,1,0
7015,鐵,平,齊,dej,L,tiě,tit3,철,5,1
7016,鐶,平,刪,hwaen,L,huán,waan4,환,7,1
7017,鐸,入,鐸,dak,E,duó,dok6,탁,11,0
7018,鐺,平,唐,tang,L,dāng,dong1,당,11,1
7019,鑄,去,遇,tsyu,H,zhù,zyu3,주,4,0
7020,鑊,入,鐸,hwak,E,huò,wok6,확,11,0
7021,鑌,平,眞,pjin,L,bīn,ban1,빈,6,1
7022,鑑,平,先,ken,L,jiàn,gaam3,감,7,1
7023,鑒,平,先,ken,L,jiàn,gaam3,감,7,1
7024,鑕,入,質,tsyit,E,zhì,zat1,질,6,0
7025,鑚,平,桓,tswan,L,zuàn,zyun3,찬,7,1
7026,鑛,上,梗,kwaeng,X,kuàng,kong3,광,12,0
7027,鑞,入,盍,lap,E,là,laap6,납,16,0
7028,鑠,入,藥,syak,E,shuò,soek3,삭,11,0
7029,鑢,去,御,ljo,H,lv̀,leoi6,여,4,0
7030,鑣,平,宵,pjew,L,biāo,biu1,표,8,1
7031,鑪,平,模,lu,L,lú,lou4,노,4,1
7032,鑰,入,藥,yak,E,yào,joek6,약,11,0
7033,鑱,平,銜,dzraem,L,chán,caam4,참,16,1
7034,鑴,平,支,xjwie,L,xī,kwai4,휴,3,1
7035,鑷,入,葉,nrjep,E,niè,nip6,섭,16,0
7036,鑼,平,歌,la,L,luó,lo4,나,9,1
7037,鑽,平,桓,tswan,L,zuān,zyun3,찬,7,1
7038,鑾,平,桓,lwan,L,luán,lyun4,난,7,1
7039,鑿,入,屋,dzuwk,E,záo,zok6,착,1,0
7040,钁,入,藥,kjwak,E,jué,fok3,곽,11,0
7041,钥,入,藥,yak,E,yào,joek6,월,11,0
7042,链,平,仙,trhjen,L,liàn,lin6,연,7,1
7043,長,平,陽,drjang,L,cháng,coeng4,장,11,1
7044,門,平,魂,mwon,L,mén,mun4,문,6,1
7045,閃,上,琰,syem,X,shǎn,sim2,섬,16,0
7046,閈,去,翰,han,H,hàn,hon6,한,7,0
7047,閉,去,霽,pej,H,bì,bai3,폐,5,0
7048,開,平,咍,khoj,L,kāi,hoi1,개,5,1
7049,閎,平,耕,hweang,L,hóng,wang4,굉,12,1
7050,閑,平,山,hean,L,xián,haan4,한,7,1
7051,閒,平,山,kean,L,xián,haan4,한,7,1
7052,閔,上,軫,min,X,mǐn,man5,민,6,0
7053,閘,入,盍,kap,E,zhá,zaap6,갑,16,0
7054,閙,去,效,nraew,H,nào,naau6,요,8,0
7055,閟,去,至,pij,H,bì,bei3,비,3,0
7056,閠,去,稕,nywin,H,rùn,jeon6,윤,6,0
