,char
2211,憩
2212,憫
2213,憬
2214,憭
2215,憮
2216,憲
2217,憶
2218,憺
2219,憾
2220,懂
2221,懃
2222,懇
2223,應
2224,懊
2225,懋
2226,懐
2227,懔
2228,懟
2229,懡
2230,懣
2231,懦
2232,懲
2233,懵
2234,懶
2235,懷
2236,懸
2237,懺
2238,懼
2239,懽
2240,懾
2241,懿
2242,戀
2243,戄
2244,戇
2245,戈
2246,戊
2247,戌
2248,戍
2249,戎
2250,成
2251,我
2252,戒
2253,戔
2254,戕
2255,或
2256,戚
2257,戛
2258,戞
2259,戟
2260,戡
2261,戢
2262,截
2263,戮
2264,戯
2265,戰
2266,戱
2267,戲
2268,戳
2269,戴
2270,戶
2271,户
2272,戸
2273,戹
2274,戺
2275,戽
2276,戾
2277,房
2278,所
2279,扁
2280,扃
2281,扄
2282,扅
2283,扆
2284,扇
2285,扈
2286,扉
2287,扊
2288,手
2289,才
2290,扎
2291,扑
2292,扒
2293,打
2294,托
2295,扛
2296,扠
2297,扣
2298,扭
2299,扮
2300,扯
2301,扱
2302,扳
2303,扵
2304,扶
2305,批
2306,扺
2307,扼
2308,承
2309,技
2310,抃
2311,抄
2312,抆
2313,抉
2314,把
2315,抑
2316,抒
2317,抓
2318,抔
2319,投
2320,抖
2321,抗
2322,折
2323,抛
2324,抝
2325,抨
2326,披
2327,抬
2328,抱
2329,抵
2330,抹
2331,抺
2332,押
2333,抽
2334,拂
2335,拄
2336,拆
2337,拇
2338,拈
2339,拉
2340,拊
2341,拋
2342,拌
2343,拍
2344,拏
2345,拐
2346,拒
2347,拓
2348,拔
2349,拕
2350,拖
2351,拗
2352,拘
2353,拙
2354,拚
2355,招
2356,拜
2357,拪
2358,拫
2359,括
2360,拭
2361,拮
2362,拯
2363,拱
2364,拳
2365,拴
2366,拶
2367,拼
2368,拽
2369,拾
2370,持
2371,挂
2372,指
2373,挈
2374,按
2375,挍
2376,挏
2377,挐
2378,挑
2379,挟
2380,挨
2381,挪
2382,挫
2383,振
2384,挱
2385,挲
2386,挹
2387,挺
2388,挻
2389,挼
2390,挽
2391,挾
2392,挿
2393,捃
2394,捄
2395,捆
2396,捉
2397,捋
2398,捍
2399,捎
2400,捏
2401,捐
2402,捕
2403,捜
2404,换
2405,捧
2406,捨
2407,捩
2408,捫
2409,捭
2410,据
2411,捱
2412,捲
2413,捶
2414,捷
2415,捺
2416,捻
2417,掀
2418,掁
2419,掃
2420,掄
2421,掇
2422,授
2423,掉
2424,掊
2425,掌
2426,掎
2427,掏
2428,掐
2429,排
2430,掖
2431,掘
2432,掙
2433,掛
2434,掞
2435,掠
2436,採
2437,探
2438,掣
2439,掤
2440,接
2441,控
2442,推
2443,掩
2444,措
2445,掬
2446,掯
2447,掲
2448,掾
2449,掿
2450,揀
2451,揄
2452,揆
2453,揉
2454,揎
2455,描
2456,提
2457,揑
2458,插
2459,揕
2460,揖
2461,揚
2462,換
2463,揜
2464,揠
2465,握
2466,揣
2467,揩
2468,揫
2469,揭
2470,揮
2471,揲
2472,揳
2473,援
2474,揶
2475,揷
2476,揸
2477,揺
2478,揾
2479,搃
2480,搆
2481,搊
2482,損
2483,搏
2484,搓
2485,搔
2486,搖
2487,搗
2488,搘
2489,搜
2490,搢
2491,搥
2492,搦
2493,搧
2494,搨
2495,搬
2496,搭
2497,搯
2498,搰
2499,搴
2500,搶
2501,携
2502,搽
2503,摇
2504,摉
2505,摐
2506,摑
2507,摘
2508,摛
2509,摝
2510,摟
2511,摠
2512,摧
2513,摩
2514,摭
2515,摮
2516,摯
2517,摳
2518,摴
